EFECTIVO,CXC,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,CONTRIBUCIONES_X_PAGAR,ANTICIPOS_CTE,CAP_SOCIAL,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS,OBJETIVO
,7710799.826,,1237449.438,294705.6664,8812519.508,45472140.07,239671.5009,1257907.448,2356497.733,-6009930.409,-6816681.404,41309820.53,68725724.78,6298390.104,15057615.24,Aceptado
74370.98344,2213115.804,,133553.0669,400010.9174,8491850.953,15732539.68,94809.20697,670898.5232,,-7980961.883,-3342451.935,,35882739.46,,10851563.46,Aceptado
909213.4473,11450924.96,9577822.891,1068692.409,1302021.086,1379063.945,,,2378927.851,1236065.779,,-4567434.952,76310275.6,,,13232671.44,Aceptado
968866.8993,8539205.63,3898282.548,416873.3265,,-629717.8548,7620711.462,116647.7396,1798064.624,3657339.603,770284.5004,-711032.0155,62901614.29,36142598.75,6850340.403,11000477.09,Aceptado
1773585.004,,61142290.58,723278.7994,1027126.887,4234019.828,97047908.37,783139.7306,2590328.307,7179441.092,18689654.33,-2969675.802,396207900.9,217255661.2,58571232.04,58525101.92,Aceptado
2012121.618,44994506.72,36296946.44,13835507.31,,6183587.529,90585154.76,3228281.186,9338428.196,8995960.551,13269904.62,,208361113.3,127293927.7,45965630.47,35826349.54,Aceptado
2083013.127,5642930.368,477779.3085,1029408.62,428578.6139,-4593900.88,6333387.074,,1199689.86,10939232.69,-4110542.445,471708.9116,11514028.32,14801001.16,6585251.031,14573571.29,Aceptado
894677.3106,54632064.27,,12785040.76,3773400.013,3124556.798,85455687.96,195656.3051,2055115.099,132942.9546,19204093.6,-2650300.767,469227170.9,235738138.6,51854423.66,41550254.51,Aceptado
426090.4436,6136600.64,239653.8779,735799.3932,1067854.412,-7103518.802,2662149.216,65044.03478,,,8084576.99,-765915.867,54878600.4,17642287.13,5304115.47,7163187.438,Aceptado
845023.601,38240170.21,26468120.81,1346657.411,291175.5931,,74899207.73,200477.1846,2665407.047,3055945.403,4207408.246,-5377807.141,98465064.61,169881307,35902570.89,31364780.74,Aceptado
612018.7449,694622.4361,,80245.64139,248527.6953,412675.8463,2385184.776,102608.1694,386850.0955,5106132.277,-9134566.2,409183.5666,,11285216.19,8355135.133,9415842.617,Aceptado
310540.7709,455349.8996,,,382243.0422,,,,,1968720.052,-8481412.565,-68108.87368,6922910.514,5971837.307,1801355.174,2136873.294,Aceptado
4308351.791,45696352.03,13194432.17,6626222.449,3033468.048,,,599005.7876,10764559.57,,17751668.26,-2351166.541,235816492.2,,46477652.07,29852990.61,Aceptado
,3722566.636,12776394.47,368753.6718,774257.9278,8583450.376,,193741.5542,293097.8969,7329381.796,-13428085.28,-451427.942,23729436.4,26857402.85,,19455153.75,Aceptado
2142342.538,19419403.35,41052727.02,,633087.4902,5427031.027,38497839.9,690946.0514,5830260.314,11983179.4,6116364.001,-3249287.783,155048701.8,58043486.53,14142996.19,18530112.35,Aceptado
740315.1793,8869420.665,5297630.377,982012.965,1312071.803,3291607.29,15662159.24,101777.1515,862212.2212,3408893.806,-5152677.176,-879681.1798,,73258806.69,15881884.71,20449692.75,Aceptado
1899606.785,8260726.182,,1200693.751,532610.5636,-12653301.87,4824853.273,256240.9733,381189.0033,1102582.718,6777020.307,,31086289.83,33127160.17,7068352.617,12134861.71,Aceptado
11965664.96,69304196.76,58571006.64,3207225.7,2230173.899,614870.2501,96612525.58,802335.0399,6928451.568,,10852722.35,-1616714.281,388437658.6,461396531.1,72914673.57,,Aceptado
20589302.89,64835733.31,5169725.482,323165772.6,3441713.293,,70362659.48,3812367.84,14593898.68,1411630.819,24599798.72,-6208035.345,,1018728273,21419962.52,26296978,Aceptado
438037.2152,,885891.7671,841431.6274,2336603.607,-1195022.662,5747918.352,50372.09793,1603489.114,769113.782,-3530653.018,-463520.4841,43414141.21,55287629.38,12339588.83,7612122.812,Aceptado
2403650.982,30591580.27,,7177530.229,505798.8163,,57694709.25,771379.2511,4491598.701,2547999.405,11370355.98,,86064693.56,174434663.5,13761621.3,24451679.41,Aceptado
1339218.225,1480668.48,318324.4478,121672.6908,287331.9632,,598281.2619,471175.6704,1027795.459,10965749.8,-3575567.613,735983.9037,7260895.479,6912429.675,,6070173.257,Aceptado
953951.0315,13341583.52,2496878.381,,,-10880101.13,7056348.156,81463.89268,761710.6431,2073766.407,,259367.1607,,73314264.47,19514886.82,22766954.39,Aceptado
57155.67719,1633609.974,1429742.208,,658574.0359,6695956.281,8049662.692,,535209.041,60080.81786,206457.8763,-3238683.854,,,2716168.594,3472763.991,Aceptado
2398005.776,28851889.94,6799360.109,12462877.88,2818744.16,-3938486.068,24397033.6,492840.47,987931.4972,419111.7324,13540780.38,-859789.2347,182867869.2,154401141.5,32916471.73,34989061.79,Aceptado
2723236.353,12753417.92,3065788.471,3176916.341,1525805.642,-7178875.518,18699516.13,123971.8476,1811801.127,246754.1289,8397968.557,,,130640663.8,9032245.837,,Sospechoso
56621.52335,139094.8754,95421.48122,9446.926311,20775.71768,4645544.664,179635.5619,84209.4702,14392.04772,6979853.54,-15125006.44,1108701.973,1298204.117,,4123377.205,,Aceptado
2352538.214,16604379.78,5649665.801,1405903.588,1232940.547,-4813215.852,26765768.04,,3243509.768,3083595.743,1864665.27,-2430921.392,80732549.55,166654178.1,23715817.21,18898579.7,Aceptado
,746769.403,10358860.7,50555.85119,96075.7225,8226437.147,1250112.639,274884.0337,,3048690.859,-4594941.972,-190185.0442,12612056.54,2850707.693,2966227.45,7463603.74,Aceptado
63026.08112,83034.32771,372473.085,11159.02994,,,,16380.31134,5363.826228,610822.6967,-7907901.627,1092697.064,16840928.58,1563491.07,2659886.273,,Aceptado
392071.2456,10424452.53,,856517.2283,205017.2016,7085220.384,24648456.03,201617.8088,432244.0909,5778065.583,,-1444813.325,23730936.87,21806484.42,13068470.18,23206747.37,Aceptado
135049.3187,,304341.2176,,715401.4777,-74081.40216,2435784.924,36741.76881,437590.3318,53983.27621,2503812.214,-2454034.056,19650160.77,16190351.79,1887787.652,3584596.821,Aceptado
108326.87,1507658.044,6188618.987,89085.02976,656229.1617,,3702779.661,,425207.5877,,791021.0858,-4483554.27,43611209.54,27762519.32,2040236.088,3767587.596,Aceptado
638154.5341,1651658.404,3444836.479,,928464.6305,5513841.069,7166795.775,227371.1755,365727.0318,1325238.326,-8390453.681,-2216362.448,23478390.1,41219868.26,,,Aceptado
1522542.367,22326838,26716450.79,,2358086.116,4807866.369,40094114.09,3351968.671,2792391.699,12801846.73,5500072.624,,127826803,584032710.6,29918717.54,35415197.19,Aceptado
1623087.494,12223659.84,,9673154.439,3194647.362,-4495581.196,3838984.545,,2806441.253,1276132.335,12176468.66,-1334803.157,93947183.13,33681372.22,2455832.901,6606397.938,Aceptado
154078.9747,69353.39238,580005.5415,33485.38995,416547.172,3689456.19,231361.4727,41831.75326,,,-14750568.43,-1227102.165,2345522.749,13864125.66,704974.0069,1900446.031,Aceptado
2109291.976,,21255275.99,19393360.37,,-43752.26522,79192738.58,,433367.6313,966282.529,19666715.49,-604798.0587,408645285.7,177643744.8,88849733.85,,Aceptado
1495716.504,2583913.579,10263712.45,333952.5495,233546.7406,6061448.029,7073880.759,,1416417.028,10661237.49,-8411531.603,,28785716.68,4408067.869,,12765246.07,Aceptado
